id,label,properties
2293,place,"{""name"":""Vatnsdalur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2660,place,"{""name"":""Máná"",""long"":""-18.999356"",""lat"":""66.168029"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2330,place,"{""name"":""Hvesta, Arnarfjörður"",""long"":""-23.70912"",""lat"":""65.696885"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2629,place,"{""name"":""Árvík, Fáskrúðsfjörður"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1062,place,"{""name"":""Rekavík bak Látrum"",""long"":""-23.055663"",""lat"":""66.419777"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3079,place,"{""name"":""Möðrudalsfjöll"",""long"":""-15.727248"",""lat"":""65.387232"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3099,place,"{""name"":""Snæfjöll"",""long"":""-22.835166"",""lat"":""66.197334"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4241,place,"{""name"":""Mýrar, Flóa"",""long"":""-20.763975"",""lat"":""63.840857"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3562,place,"{""name"":""Hella (hjáleiga frá Kálfafellsstað)"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1065,place,"{""name"":""Tröllkonuvöllur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1304,place,"{""name"":""Kambsrétt"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
772,place,"{""name"":""Saltvík"",""long"":""-17.364706993103"",""lat"":""66.0011627345671"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2817,place,"{""name"":""Vopnafjörður"",""long"":""-14.830014282226784"",""lat"":""65.75643517898384"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3891,place,"{""name"":""Breiðafjarðareyjar"",""long"":""-22.686767578125"",""lat"":""65.3439310212609"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2047,place,"{""name"":""Baulárvallafjall"",""long"":""-22.913116"",""lat"":""64.8861"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2244,place,"{""name"":""\""fyrir austan\"""",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1681,place,"{""name"":""Kleifar, Kaldbaksvík"",""long"":""-21.312778"",""lat"":""65.868646"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2902,place,"{""name"":""Eyri"",""long"":""-22.924403"",""lat"":""66.00891"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3084,place,"{""name"":""Bolungarvík, Hornstrandir"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1415,place,"{""name"":""Langalág"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4239,place,"{""name"":""Gull. og Kjós.: Kapella á Hraunssandi"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
700,place,"{""name"":""Miðgarðar, Grímsey"",""long"":""-17.998869"",""lat"":""66.534159"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3215,place,"{""name"":""Gull. og Kjós.: Ræningjastígur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2760,place,"{""name"":""Árnahús"",""long"":""-22.12158"",""lat"":""65.032762"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
518,place,"{""name"":""Silfrastaðir"",""long"":""-19.179353"",""lat"":""65.441069"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2415,place,"{""name"":""Sauðanes"",""long"":""-18.521343"",""lat"":""66.020801"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
811,place,"{""name"":""Elliheimilið Grund"",""long"":""-21.951801"",""lat"":""64.145235"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2428,place,"{""name"":""Gaukshöfði"",""long"":""-20.014868"",""lat"":""64.081009"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3248,place,"{""name"":""Hólsbúð (réttara: Hólbúð) hjá Arnarstapa"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4323,place,"{""name"":""Reykjarfjörður"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2264,place,"{""name"":""Oddi, Rangárvellir"",""long"":""-20.386506"",""lat"":""63.777073"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3114,place,"{""name"":""Hvammur í Þistilfirði"",""long"":""-15.415442"",""lat"":""66.124234"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
729,place,"{""name"":""N-Múlasýsla"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2922,place,"{""name"":""Miðdalskot"",""long"":""-20.640266"",""lat"":""64.237769"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
500,place,"{""name"":""Breiðafjörður"",""long"":""-23.1097412109375"",""lat"":""65.2704979866062"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4272,place,"{""name"":""Bóndhóll á Mýrum"",""long"":""-21.83487"",""lat"":""64.582064"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4426,place,"{""name"":""Hvolhraun undir Austur-Eyjafjöllum"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3754,place,"{""name"":""Herdísarvíkurfjall í Selvogi"",""long"":""-21.846822"",""lat"":""63.885081"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2259,place,"{""name"":""Skipholt í Hrunamannahreppi"",""long"":""-20.282187"",""lat"":""64.192808"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3421,place,"{""name"":""Garðsá í Eyjafirði"",""long"":""-17.987701"",""lat"":""65.601545"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1604,place,"{""name"":""Keldnaþing"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3247,place,"{""name"":""Hvítársíða"",""long"":""-21.197147"",""lat"":""64.711889"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
810,place,"{""name"":""Víðidalstunguheiði"",""long"":""-20.388014"",""lat"":""65.174882"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1137,place,"{""name"":""Skammdalur"",""long"":""-19.100936"",""lat"":""63.451457"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4335,place,"{""name"":""Kækjuskörð"",""long"":""-13.868375"",""lat"":""65.416662"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4623,place,"{""name"":""Vatnsskarðshólar, Dyrhólahreppur"",""long"":""-19.183823"",""lat"":""63.423714"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1457,place,"{""name"":""Nýibær, Flatey"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2038,place,"{""name"":""Gull. og Kjós.: Munaðarhóll"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3483,place,"{""name"":""Núpsá"",""long"":""-17.470577"",""lat"":""63.961029"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1269,place,"{""name"":""Staffell, Fell"",""long"":""-14.508471"",""lat"":""65.291904"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2965,place,"{""name"":""Litlidalur, Sléttárdalur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
