id,label,properties
5945,person,"{""name"":""Jónas Pétursson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6923,person,"{""name"":""Sigfús Eiríksson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
916,person,"{""name"":""Hjálmar Jónsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7656,person,"{""name"":""Guðmundur Brynjólfur Guðmundsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4291,person,"{""name"":""Hermann Jónsson, bóndi (1837-94)"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3921,person,"{""name"":""Jón J. Dalmann"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4764,person,"{""name"":""Guðbrandur Erlendsson "",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7774,person,"{""name"":""Snorri Gíslason Wíum"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9066,person,"{""name"":""Jakob Jóh. Smári"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12750,person,"{""name"":""Sigríður Hannesdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5770,person,"{""name"":""Björn Þorleifsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8023,person,"{""name"":""Sagnir úr Kelduhverfi"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11953,person,"{""name"":""Sögn sjáenda"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
724,person,"{""name"":""Sigurður Sumarliðason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2940,person,"{""name"":""Steindór Hinriksson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9210,person,"{""name"":""Ingibjörg Jensdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7876,person,"{""name"":""Arngrímur Kristjánsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4781,person,"{""name"":""Bjarni Árnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4362,person,"{""name"":""Sigríður Sveinsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11633,person,"{""name"":""Þorvaldur Þorvaldsson, háaldraður maður"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8301,person,"{""name"":""Jón Vestmann"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7534,person,"{""name"":""Einar Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3858,person,"{""name"":""Stefán Thordersen"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4936,person,"{""name"":""Þórður Jónsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
