src-id,dst-id,label,properties
2272,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3531"",""title"":""Kynjarnar í Miðhúsum"",""__label"":""place-of-narration""}"
2902,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9628"",""title"":""Draumur Sofusar Guðmundssonar"",""__label"":""place-of-narration""}"
3221,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4490"",""title"":""Jón písl"",""__label"":""place-of-narration""}"
4535,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_356"",""title"":""Háskjól og vömb"",""__label"":""place-of-narration""}"
2001,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_500"",""title"":""Garðabrekka"",""__label"":""place-of-narration""}"
1296,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4210"",""title"":""Pétursbaðstofa\n"",""__label"":""place-of-narration""}"
4124,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_378"",""title"":""Holtsá og Steinalækur"",""__label"":""place-of-narration""}"
4542,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5716"",""title"":""Draumar Sigurðar Davíðssonar"",""__label"":""place-of-narration""}"
538,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_16_5166"",""title"":""Þorgeirsboli: Boli og fylgdarmenn Guðleifar"",""__label"":""place-of-narration""}"
1762,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1202"",""title"":""Músarbyljir"",""__label"":""place-of-narration""}"
4051,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_581"",""title"":""Jón Snorrason á Gauksstöðum"",""__label"":""place-of-narration""}"
706,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_417"",""title"":""Vígslur Guðmundar í Grímsey"",""__label"":""place-of-narration""}"
4374,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3614"",""title"":""Ferðir og hrekkir Brands; H"",""__label"":""place-of-narration""}"
1598,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5494"",""title"":""Kynleg hundgá og neyðaróp"",""__label"":""place-of-narration""}"
4468,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3761"",""title"":""Hundur sem fylgja"",""__label"":""place-of-narration""}"
3019,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_2_3040"",""title"":""Afturganga"",""__label"":""place-of-narration""}"
3684,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_484"",""title"":""Kolur á Kolsstöðum"",""__label"":""place-of-narration""}"
2528,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_14_5192"",""title"":""Hvíta veran í lambhúsinu"",""__label"":""place-of-narration""}"
4407,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4897"",""title"":""Þáttur af Barna-Arndísi.\n2. Arndís dæmd útlæg úr Skaftafellssýslu"",""__label"":""place-of-narration""}"
2064,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4102"",""title"":""Sævarundur"",""__label"":""place-of-narration""}"
3770,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_727"",""title"":""Ólafur Fnjóskdælingur"",""__label"":""place-of-narration""}"
2813,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_276"",""title"":""Nafnarnir í Fnjóskadal og bjarndýrið"",""__label"":""place-of-narration""}"
